Crop,N (kg/ha),P (kg/ha),K (kg/ha),pH,Rainfall (mm/year),Temperature (°C),Humidity (%),Soil Moisture (%)
Arecanut,100-150,40-60,120-200,5.5-6.5,2000-3000,15-25,70-90,50-70
Arhar/Tur,20-30,40-50,20-30,6.0-7.0,600-1000,25-35,50-70,40-60
Banana,200-300,60-80,200-300,5.5-7.0,1700-2500,20-35,75-85,60-80
Black pepper,100-140,40-60,140-160,5.5-6.5,2000-3000,15-30,70-90,50-70
Cashewnut,100-200,50-80,100-150,4.5-6.5,1000-2000,20-30,60-80,50-70
Coconut,120-150,40-60,160-200,5.2-6.5,1500-3000,20-30,70-90,50-70
Cowpea (Lobia),20-30,40-60,20-40,5.5-6.5,400-700,25-30,60-70,40-50
Dry chillies,100-150,50-60,50-70,6.0-7.0,600-1200,20-30,60-80,40-50
Ginger,80-100,50-60,100-120,5.5-6.5,2000-3000,20-30,70-90,60-70
Groundnut,20-40,40-60,40-60,6.0-7.0,500-1200,20-30,60-70,50-60
Maize,120-180,60-80,40-60,5.5-7.0,600-1500,20-30,50-70,50-70
Moong (Green Gram),20-30,40-50,20-30,6.0-7.0,600-1000,25-35,50-70,40-60
Oilseeds total,40-60,20-40,20-40,5.5-7.5,400-1000,20-30,50-70,40-60
Other Kharif pulses,20-40,30-50,20-40,5.5-7.0,600-1200,25-35,50-70,40-60
Other oilseeds,40-60,20-40,20-40,5.5-7.5,400-1000,20-30,50-70,40-60
Rapeseed & Mustard,60-80,40-60,40-60,5.5-7.0,500-1000,15-25,50-70,40-60
Rice,80-120,40-60,40-60,5.5-6.5,1000-2000,20-30,70-90,60-80
Sesamum,40-60,20-30,20-30,5.5-6.5,500-800,20-30,50-70,40-50
Sugarcane,100-150,50-80,80-120,6.0-7.5,1000-2000,20-30,70-90,60-70
Sunflower,40-60,40-60,40-60,6.0-7.5,500-700,20-30,50-70,50-60
Sweet potato,50-100,40-60,80-100,5.5-6.5,750-1000,20-30,60-70,50-60
Tapioca,50-100,40-60,80-100,5.5-6.5,750-1000,20-30,60-70,50-60
Turmeric,100-120,40-60,80-100,5.5-6.5,1500-2000,20-30,70-90,60-70
Urad,20-30,40-50,20-30,6.0-7.0,600-1000,25-35,50-70,40-60
Bajra,40-60,20-30,20-30,5.5-7.0,200-600,25-35,50-70,40-50
Castor seed,40-60,20-30,20-30,6.0-7.5,500-700,20-30,50-70,40-50
Coriander,40-60,20-30,20-30,6.0-7.0,500-700,20-30,50-70,40-50
Cotton (lint),60-120,40-60,40-60,5.5-7.5,600-1200,20-30,50-70,50-60
Garlic,80-100,40-60,40-60,6.0-7.0,600-1000,15-25,60-70,50-60
Gram,20-40,40-60,20-40,6.0-7.5,400-600,15-25,50-70,40-50
Guar seed,20-40,20-30,20-30,6.0-7.5,300-600,25-35,50-70,40-50
Horse-gram,20-30,30-40,20-30,6.0-7.0,600-800,25-35,50-70,40-50
Jowar,40-60,20-30,20-30,5.5-7.0,400-1000,25-35,50-70,40-50
Linseed,20-40,20-30,20-30,5.5-7.0,300-600,15-25,50-70,40-50
